last_name,first_name,phone,email,address,postalZip,region,languages,GPA,major,university
Ward,Ross,(625) 548-4586,rossward@protonmail.com,118-4666 Metus Av.,22-465,Quebec,Python SQL Javascript C# Go,3.847046520638953,CS,University of NorthWest
Mcfadden,Evelyn,(420) 927-4673,evelynmcfadden@yahoo.ca,Ap #379-5049 Orci Rd.,3464,Yukon,Python SQL Javascript C#,3.9296493937753407,CS,Carroll College Waukesha
Matthews,Oleg,(284) 261-5437,olegmatthews@aol.com,"P.O. Box 248, 7908 Magna. Ave",6726,Ross-shire,Javascript C#,3.6573455944762334,CE,University of South Carolina - Union
Roach,Tucker,(217) 730-4136,tuckerroach47@outlook.net,145-1709 Nunc Rd.,55347,Morayshire,Ruby,2.630657323083623,CS,Grambling State University
Gallegos,George,1-936-347-7710,georgegallegos5341@outlook.net,627-6302 Quam Rd.,92473,Manitoba,Javascript C# Go Swift,2.2319564297630716,CS,University of Wisconsin - River Falls
Morris,Paki,1-797-757-2278,pakimorris612@icloud.com,9604 Nec Rd.,610757,Kincardineshire,Java,3.663948650432247,CE,Center for Humanistic Studies
Miller,Marah,1-560-617-7765,marahmiller@yahoo.couk,"P.O. Box 155, 7316 A, St.",783402,Virginia,Go Swift,3.111099285849312,IT,Pace University  Pleasantville/Briarcliff
Allen,Sandra,1-266-184-5903,sandraallen@protonmail.org,116-8231 Porttitor Av.,65728-945,Northwest Territories,Swift PHP,2.7972148429700097,MIS,Avila College
Winters,Georgia,(512) 697-3879,georgiawinters@google.org,4253 Aliquet Rd.,2011,Ontario,Go Swift,2.641338592541028,MIS,Standford Online University
Watkins,Palmer,1-237-766-3360,palmerwatkins9175@outlook.net,Ap #796-4051 Mollis. Rd.,50314,Clackmannanshire,R Python SQL Javascript,3.4079421242618837,CE,University of Wisconsin - Green Bay
Pena,Dane,(322) 136-2326,danepena@protonmail.org,705-9660 Risus. Street,18043,Wyoming,C++ Java R Python,2.8175332919168508,MIS,North Carolina State University
Cherry,Cassidy,(554) 452-8211,cassidycherry@protonmail.ca,"P.O. Box 233, 1932 Luctus Street",4435-6128,Georgia,R Python SQL,3.6633940480727114,CS,Rocky Mountain College of Art and Design
Wheeler,Kaitlin,1-147-694-5761,kaitlinwheeler@aol.ca,"P.O. Box 619, 8484 Fusce Avenue",3267,Merionethshire,PHP Ruby,3.0780643562368546,IST,Valley City State University
Ramsey,Sonya,1-246-571-6971,sonyaramsey@protonmail.net,706-993 Quisque Av.,474052,Minnesota,Python SQL Javascript C#,2.3684174328087044,CIS,Embry-Riddle Aeronautical University
Paul,Dustin,1-978-263-4517,dustinpaul6009@yahoo.org,367-430 Arcu. St.,3959237,Prince Edward Island,Go Swift PHP Ruby,2.843453774457211,CS,Arcadia University
Lowery,Gregory,(752) 175-1665,gregorylowery5370@google.net,803-7637 Fusce Street,53801,Manitoba,Java R,3.692724412890807,MIS,Jacksonville State University
Mcfadden,Joy,1-238-379-6439,joymcfadden@yahoo.ca,Ap #611-7386 Facilisis Av.,986431,Saskatchewan,Python SQL,3.775813264159154,CS,Albany Medical Center
Tucker,Ulric,1-557-909-2622,ulrictucker@yahoo.org,"674-4759 Erat, Rd.",61732-76573,California,SQL Javascript C#,2.674374823929472,CE,Lagrange College
Peck,Keith,1-251-906-4264,keithpeck4498@outlook.ca,4772 Lectus Rd.,58608-998,Alberta,Go Swift PHP Ruby,3.5327425701072395,MIS,Belmont University
Richards,Keegan,1-328-782-3752,keeganrichards@icloud.edu,3405 Phasellus Ave,7642,Caithness,Python SQL Javascript C#,3.626757213716669,IT,Johnson State College
Hughes,Ralph,1-841-887-3492,ralphhughes4140@google.com,"P.O. Box 781, 6500 Blandit. Street",542475,New Brunswick,Go Swift,2.654816776927535,CS,Roger Williams University
Goodman,Judith,(485) 689-8634,judithgoodman4482@icloud.couk,203-4441 Praesent Rd.,9575,Selkirkshire,C# Go Swift PHP Ruby,3.3964210266128596,IST,Johnson State College
Fitzpatrick,Meghan,(258) 137-5566,meghanfitzpatrick@hotmail.com,6837 At Rd.,65261-445,Mississippi,R Python SQL Javascript,3.6458334027751587,IT,Stefan University
Andrews,Jared,(353) 456-8455,jaredandrews@outlook.ca,Ap #797-2064 Nisi. Street,N8T 9BR,Cheshire,C,2.9673854452506934,CIS,Husson College
Wolfe,Dylan,1-130-203-3614,dylanwolfe294@google.org,"P.O. Box 548, 7502 Orci St.",46-918,Alberta,SQL Javascript C# Go,2.4339737770683025,MIS,"City University of New York, Bernard M. Baruch College"
Solis,Rae,1-235-921-1989,raesolis8104@icloud.com,285-3036 Sed Avenue,93021,New Brunswick,R Python SQL,3.3081082139157143,CE,Catawba College
Hobbs,Fritz,1-574-223-5555,fritzhobbs8011@hotmail.org,718-8289 Lectus St.,227825,Fife,PHP,2.5380147926122194,IST,Thunderbird School of Global Management
Brown,Audrey,(844) 713-7660,audreybrown@aol.net,Ap #221-5622 Volutpat. Rd.,527813,Connecticut,Java R Python SQL,3.7293424993598423,CIS,Atlantic International University
Macias,Kay,(741) 842-9177,kaymacias6054@yahoo.com,375-324 Morbi Avenue,36354,Worcestershire,Javascript C#,3.7987689406866836,IT,Graceland College
Pickett,Aiko,(378) 247-3523,aikopickett@yahoo.edu,345-4492 Sem Street,C5 8HM,Arizona,Go Swift PHP Ruby,2.9304193310510613,CIS,Ashland University
Crosby,Lillith,(784) 779-7548,lillithcrosby3436@hotmail.edu,Ap #564-8651 Parturient Ave,774173,Yukon,Javascript C# Go Swift PHP,3.683832055706198,CIS,State University of New York (SUNY)
Washington,Ashton,(511) 220-5727,ashtonwashington3564@hotmail.com,Ap #840-5253 Tempor Rd.,8769,Somerset,Java,2.9161083323113113,CE,State University of New York at Binghamton
Kent,Price,1-513-273-4968,pricekent707@yahoo.ca,"P.O. Box 258, 5820 Vitae Rd.",31655,Manitoba,C++ Java R Python,2.455427737023479,CIS,St. Norbert College
Brewer,Donna,(893) 721-3762,donnabrewer@yahoo.couk,883-833 Blandit Rd.,529474,Herefordshire,Javascript C#,3.954390805979413,DS,Shippensburg University of Pennsylvania
Montgomery,Macaulay,1-369-467-5673,macaulaymontgomery696@protonmail.edu,Ap #102-1221 Commodo Rd.,96355,Michigan,Go,3.8272349908100134,CS,School of the Visual Arts
Todd,Melvin,(576) 766-5397,melvintodd@outlook.couk,234-8134 Morbi Avenue,7607 EC,Saskatchewan,Python,2.431940826977238,IT,Appalachian State University
Farmer,Thaddeus,(231) 344-7262,thaddeusfarmer@protonmail.org,"P.O. Box 267, 4924 Eu, St.",51304,Idaho,Java R Python SQL,3.1826478541252543,CS,Mount Senario College
Prince,Vivien,1-494-868-8642,vivienprince@icloud.couk,Ap #121-7609 Dolor Street,693276,Massachusetts,SQL Javascript,2.0368446468835284,IST,Willamette University
Burnett,Brenda,1-337-843-7213,brendaburnett@aol.net,293-7911 Aenean Street,22517,Alaska,R Python,2.521977453030273,CIS,University of Maryland at Baltimore
Gregory,Merritt,1-238-101-1982,merrittgregory3085@icloud.couk,5659 In St.,397437,Saskatchewan,Python,2.4370428735015093,IST,Claremont Graduate University
Fulton,Lyle,(166) 651-6877,lylefulton@hotmail.edu,Ap #107-6417 Nibh Rd.,3622-7613,Delaware,C C++ Java,2.0773885001033863,CE,Notre Dame College
Caldwell,Kelly,(256) 810-4918,kellycaldwell2120@icloud.ca,1008 Interdum St.,84572,Northwest Territories,R Python SQL,2.1578748245537467,IST,Dixie College
Duncan,Martin,(439) 532-3550,martinduncan@outlook.couk,"P.O. Box 476, 3260 Curabitur Avenue",12164,Prince Edward Island,Python SQL Javascript C# Go,2.7822334124796715,CIS,"National American University, Albuquerque"
Andrews,Meredith,(741) 511-1671,meredithandrews@google.org,251-8098 Eu Av.,6528,Nunavut,PHP Ruby,3.901124779448372,MIS,Oklahoma Baptist University
West,Dara,1-676-623-6768,darawest435@protonmail.edu,"200-8946 Non, Road",262865,Colorado,Python SQL Javascript C#,3.9287022017867015,CE,Denver Paralegal Institute
Pace,Yoshi,1-831-719-4485,yoshipace@icloud.com,346-5993 Iaculis St.,9665-5282,Yukon,Swift PHP,3.7446752231325457,CIS,University of West Florida
Harrison,Carl,(406) 717-5739,carlharrison@protonmail.net,4471 Luctus. Road,3137,Maine,R Python SQL Javascript C#,3.5592642125767235,CIS,University of Baltimore
Phelps,Melvin,(687) 433-2716,melvinphelps6928@hotmail.ca,147-4039 Tempus St.,3377,Kentucky,Go Swift PHP,2.408639118986546,CIS,Rust College
Sherman,Malcolm,(681) 457-8477,malcolmsherman@aol.ca,609-8148 Nunc St.,25637,Perthshire,Swift PHP,2.580489296425249,MIS,Yeshiva University
Irwin,Emerson,(127) 751-8214,emersonirwin9003@aol.edu,"1428 Id, Rd.",30934,Northwest Territories,C,2.5131765152007435,MIS,Mississippi Valley State University
Summers,Uma,1-324-911-3527,umasummers929@hotmail.couk,"8097 Nec, Rd.",678433,Ontario,SQL,3.205211481797691,IST,Air Force Institute of Technology
Hill,Dorothy,1-167-245-8731,dorothyhill@google.net,"P.O. Box 232, 3589 Risus Ave",84514-481,New Brunswick,C++ Java R,2.3850082266454313,IT,Tomball College
Glenn,Zeph,1-525-565-5245,zephglenn@google.org,343-549 Id Av.,53914,Berwickshire,Javascript C# Go Swift,2.5677601023774983,MIS,Alaska Bible College
Cantu,Beverly,(948) 611-8652,beverlycantu1971@google.ca,"P.O. Box 466, 8576 Dolor, Avenue",756411,British Columbia,C C++ Java R,3.750996886188071,MIS,"Rasmussen College, Wisconsin Campuses"
Hicks,Yoshio,(271) 587-5826,yoshiohicks@protonmail.edu,Ap #565-3174 Posuere St.,12-54,Alberta,Go,3.966025291462012,CS,California School of Professional Psychology - Los Angels
Decker,Drew,1-810-447-8533,drewdecker@protonmail.org,Ap #893-5288 Ligula. St.,17331,Shetland,Java R,2.562167871085892,CS,Ohio State University - Newark
Dotson,Abraham,1-454-225-2552,abrahamdotson@yahoo.edu,Ap #474-1470 Ante. Road,74-82,Nunavut,Go,2.4078540240865203,CS,Eastern College
Stone,Theodore,(944) 753-1741,theodorestone@aol.edu,Ap #639-9816 Nisl Rd.,7533 MP,Carmarthenshire,C# Go,3.459256559953225,IST,Argosy University - Hawaii
Cash,Phoebe,(821) 727-3258,phoebecash@yahoo.org,"8397 Nec, St.",3754,Nova Scotia,Go Swift PHP,3.8098311996370366,CS,Washington State University
Chapman,Raven,(362) 265-1757,ravenchapman@outlook.ca,4634 Risus. Rd.,83846,Midlothian,SQL Javascript C# Go,3.678061138706261,CIS,Arkansas State University
Holland,Cade,1-745-832-7582,cadeholland3434@outlook.org,Ap #969-6358 Ultricies Street,815455,Orkney,Javascript,3.9347345467476913,IT,St. Mary-of-the-Woods College
Wilder,Raymond,1-519-294-9666,raymondwilder@protonmail.edu,Ap #285-4126 A Avenue,1862,Selkirkshire,SQL Javascript C# Go,3.0737510209734094,IST,University of New Haven
Grimes,Lev,1-583-668-2652,levgrimes@google.couk,Ap #797-3968 Non Av.,161668,British Columbia,SQL Javascript C# Go,2.047340461277164,CS,Morgan State University
Gates,Dorian,1-295-523-2148,doriangates1819@protonmail.net,"851-7096 Ut, Rd.",43738,Buckinghamshire,C# Go Swift PHP,2.2086216316244354,CE,Fresno City College
Kinney,David,(881) 476-0467,davidkinney@aol.org,Ap #430-9443 Ac Rd.,43-83,Rutland,SQL Javascript C#,2.487056982122253,MIS,Winthrop University
Johns,Britanney,1-457-395-1761,britanneyjohns@aol.com,"P.O. Box 973, 4583 Volutpat Road",45151,Utah,C# Go Swift PHP,3.0945007772895985,CS,Columbia University
Velasquez,Indigo,(467) 623-1212,indigovelasquez7783@yahoo.org,6780 Morbi Av.,5727,Saskatchewan,Javascript C# Go,3.3597140967067682,CS,Swarthmore College
Mckee,Roth,(462) 431-0813,rothmckee6111@hotmail.com,359-9931 Ullamcorper Rd.,526729,Sutherland,C#,3.2052440434881078,MIS,Stephen F. Austin State University
Glenn,Mechelle,1-356-420-5693,mechelleglenn1313@outlook.ca,673-883 Faucibus St.,88-678,Sutherland,C++ Java R Python SQL,2.4184471405573946,CIS,Thomas More College
Cardenas,Ina,1-290-483-9759,inacardenas@hotmail.org,Ap #835-1880 Phasellus Rd.,7851,Quebec,Python SQL Javascript C#,3.363562799809122,CIS,Indiana University at Kokomo
Ball,Karyn,1-722-738-7528,karynball@yahoo.couk,"P.O. Box 759, 638 Ornare St.",4924 KQ,Ontario,R Python SQL Javascript C#,3.117057867493848,IST,Design Institute of San Diego
Orr,Len,1-823-951-7057,lenorr@icloud.com,Ap #252-6576 Amet Av.,38316,Kincardineshire,Java,3.3777199953445773,CS,Dallas Baptist University
Olson,Brett,1-242-656-8237,brettolson9682@hotmail.edu,Ap #285-2184 Urna. Road,34713,Kentucky,C# Go Swift,3.3756379719266745,CIS,Wayne State University
Osborne,Nadine,(864) 429-5771,nadineosborne9921@outlook.org,"880-7721 Non, Av.",261244,Wyoming,C++ Java,3.2063215770810256,CS,Keck Graduate Institute of Applied Life Sciences
Cameron,Carlos,(682) 751-5610,carloscameron2694@protonmail.ca,417-2510 Ultrices. Rd.,885356,Denbighshire,Go Swift,2.766574132611705,DS,"Embry Riddle Aeronautical University, Prescott"
Acosta,Stacy,1-812-174-4311,stacyacosta6156@yahoo.net,8455 Convallis Rd.,3502,California,Go Swift PHP Ruby,2.0246499179090662,IST,Barber-Scotia College
Chandler,Cathleen,(414) 785-6746,cathleenchandler@google.com,"P.O. Box 939, 1886 Porta Avenue",111303,Louisiana,Java R Python SQL,3.444691023637504,DS,University of Northern Washington
West,Austin,(159) 314-7014,austinwest9050@icloud.org,995-189 Penatibus St.,66292-493,Arkansas,R Python SQL Javascript,3.3888359980356686,CS,College for Financial Planning
Lopez,Orlando,1-515-927-4391,orlandolopez@icloud.org,"P.O. Box 305, 8174 Id Avenue",62575-235,Berkshire,Javascript C#,3.6456562551927107,CE,Claremont McKenna College
Stout,Uma,(934) 441-5487,umastout2789@icloud.org,"P.O. Box 634, 7948 Ipsum Street",4926,Dunbartonshire,C++,3.21476526940062,MIS,Blue Mountain College
Stevens,Davis,1-238-531-7569,davisstevens@outlook.edu,Ap #280-5373 Ac Rd.,10261,Selkirkshire,C++ Java R Python,3.100832985815521,IST,Kent State University - Trumbull
Espinoza,Noah,1-476-536-6347,noahespinoza@protonmail.edu,Ap #416-5502 Auctor Av.,433172,Prince Edward Island,C# Go Swift,3.6069551504387807,DS,Wesleyan College
Hayden,Colton,1-240-923-9354,coltonhayden@aol.org,3287 Pede. Ave,46156,Kent,Go Swift PHP Ruby,3.1135336000753506,CS,Rensselaer Polytechnic Institute
Branch,Finn,(511) 221-3122,finnbranch2257@protonmail.edu,"P.O. Box 314, 8692 Sem, Street",0502-8154,Vermont,SQL Javascript C#,3.706657339499692,CS,Wright State University
Rosa,Rhonda,1-461-837-6821,rhondarosa@google.ca,Ap #793-7161 Nulla St.,604281,Saskatchewan,C++ Java R,2.8192960659548696,CS,Illinois College of Optometry
Shields,Boris,1-477-373-8326,borisshields@protonmail.org,Ap #657-1719 Tempus St.,89-462,Shetland,C# Go,3.534216215566537,CIS,Midway College
Conner,Alec,1-284-521-4733,alecconner@google.couk,"P.O. Box 881, 5944 Dictum. Street",546211,Massachusetts,SQL,2.7358198122135464,CIS,Simon's Rock College
Howe,Ronan,(245) 547-3818,ronanhowe9537@hotmail.net,4637 Libero. St.,86536,California,Python SQL Javascript C#,2.7029349353348353,CS,Glenville State College
Morin,Lenore,(465) 485-5658,lenoremorin4486@icloud.net,837-4912 Sed Rd.,1777,Shetland,C,2.0166289611231103,CIS,Medcenter One College of Nursing
Wall,Ebony,1-963-394-6511,ebonywall7995@outlook.com,Ap #951-6558 Neque Av.,973875,Cheshire,R Python,3.225457006916992,CE,Pennsylvania College of Optometry
Duncan,Risa,1-943-827-4101,risaduncan8099@hotmail.net,Ap #558-4127 Lobortis. Rd.,3254,Rutland,SQL Javascript C# Go,3.182848096996065,MIS,Lyon College
Goff,Anne,1-423-331-0442,annegoff6511@aol.org,Ap #576-6037 Eu Street,WA5 2QK,Prince Edward Island,PHP Ruby,3.7238631485845,MIS,Bethany College Kansas
Long,Dane,1-484-457-1663,danelong686@outlook.com,"P.O. Box 594, 2442 Natoque Road",47863,Prince Edward Island,Javascript C# Go Swift,3.4002525269406076,CE,Frank Lloyd Wright School of Architecture
Nelson,Phoebe,(446) 332-1158,phoebenelson1178@icloud.com,5376 Enim. Rd.,68022,Nevada,R Python SQL,2.1805833877106764,DS,University of North Texas
Pearson,Jena,1-808-570-1536,jenapearson@protonmail.ca,"P.O. Box 254, 4943 Fusce Road",543232,Prince Edward Island,C# Go Swift,2.0480755238369057,DS,Eastern Connecticut State University
Howe,Ronan,(251) 550-1227,ronanhowe9646@aol.org,"P.O. Box 158, 5245 Dictum St.",03655,Northwest Territories,Swift PHP,3.7558706024829607,MIS,Madison University (Distance Education)
Petersen,Barry,1-853-764-3327,barrypetersen@outlook.ca,Ap #154-5774 Augue Ave,66854,Pennsylvania,Ruby,3.336167333816661,CIS,"Rasmussen College, Minnesota Campuses"
Stein,Patricia,1-148-315-6117,patriciastein6709@aol.edu,"P.O. Box 705, 7518 Vestibulum St.",71363,Massachusetts,Javascript C# Go,2.764433723684217,CE,Southern Polytechnic State Univerisity
Sanchez,Raphael,(840) 953-5775,raphaelsanchez@google.edu,"P.O. Box 661, 8279 Sociosqu Street",51130,Alaska,C# Go Swift,3.149199597639634,CE,Amber University
Woodard,Dahlia,(672) 354-1997,dahliawoodard1801@protonmail.ca,"P.O. Box 518, 4362 Fermentum Rd.",09-976,Ontario,PHP Ruby,2.0575514336989995,DS,Centenary College of Louisiana
Sykes,Rajah,1-580-287-1813,rajahsykes5745@yahoo.edu,235-6534 Massa. Av.,48781,Buteshire,Java R Python,2.3030366294288744,MIS,Coker College
Leon,Irene,(536) 226-5819,ireneleon@hotmail.ca,Ap #682-312 Malesuada Av.,624671,Michigan,R Python SQL,3.8264846703242856,CS,Cleveland Institute of Art
Cote,Kiara,1-615-817-8776,kiaracote929@protonmail.couk,9586 Id Road,880888,Cheshire,PHP Ruby,3.1467357416265793,DS,Salem College
Wheeler,Porter,(453) 497-5962,porterwheeler5507@hotmail.couk,878-3655 Sed Rd.,2652,Dumfriesshire,C# Go Swift PHP,2.147157681856773,CIS,University of Redlands
Sampson,Demetrius,1-224-521-6422,demetriussampson@outlook.edu,Ap #982-137 Venenatis St.,8326 VC,Louisiana,SQL Javascript C# Go,3.6843657442529523,CS,State University of New York College at Fredonia
Wilkins,Gareth,(163) 660-6323,garethwilkins5278@protonmail.org,Ap #291-2221 Ligula. Av.,15154,Oklahoma,C++ Java,2.2737370983459693,CIS,Saginaw Valley State University
Zamora,Timothy,1-856-225-7395,timothyzamora2218@google.net,9862 Neque. St.,9012 UP,British Columbia,SQL Javascript,3.1457559623661195,CS,Ave Maria University
Higgins,Wanda,(166) 349-6687,wandahiggins7668@outlook.net,Ap #153-8887 Fusce Avenue,53644-64624,Cardiganshire,Go Swift PHP,3.3937738459282203,CIS,Huston-Tillotson College
Mullins,Hoyt,(831) 245-9120,hoytmullins@icloud.ca,Ap #321-227 Ullamcorper. Ave,03153,Dumfriesshire,C,2.395697716585524,CIS,University of Maryland University College
Medina,Odysseus,1-765-788-7485,odysseusmedina@outlook.org,Ap #731-1881 Fringilla Rd.,208797,Idaho,R Python SQL,2.4617740472481353,MIS,Arizona Christian University
Foreman,Doris,1-638-702-8145,dorisforeman1838@hotmail.net,4440 Integer Ave,EY7 1YZ,Shetland,R Python SQL Javascript C#,3.493045501367087,CE,Maryville University of St. Louis
Boyer,Samuel,(211) 361-0161,samuelboyer5901@outlook.net,872-9830 Tincidunt Ave,8824-7313,Georgia,R Python SQL Javascript,3.0501340766122587,CE,Seattle Pacific University
Gallegos,Emily,(492) 518-7425,emilygallegos5369@protonmail.couk,Ap #277-8814 Eget St.,8634,Clackmannanshire,R Python SQL Javascript,2.6591314260318395,MIS,James Madison University
Potter,Cameron,1-968-454-2176,cameronpotter@aol.com,Ap #894-6594 Donec Road,4983,Berwickshire,C# Go Swift PHP,2.746847776438824,IT,"City University of New York, Medgar Evers College"
Holcomb,Ora,1-955-446-7615,oraholcomb280@protonmail.ca,"490 Facilisis, Av.",230113,Alberta,Swift PHP,3.364025371779789,IST,Stonehill College
Stokes,Bell,(827) 634-2441,bellstokes@google.org,Ap #595-6877 Erat Street,B1L 1W2,Florida,Python SQL Javascript,3.2796782731844267,CIS,Baker College of Mount Clemens
Mays,Sara,(841) 918-8285,saramays8055@yahoo.org,1691 Luctus Road,2517,Hawaii,SQL Javascript C# Go Swift,3.7054049521393457,CE,Andon College - Modesto
Love,Octavius,(304) 647-1213,octaviuslove@icloud.com,Ap #243-1717 Magna Road,774444,Norfolk,Go Swift PHP Ruby,2.641287461891578,CE,Urbana University
Buchanan,Brock,(517) 255-2420,brockbuchanan@outlook.ca,Ap #382-6780 Nibh Avenue,8868,Wisconsin,Javascript C#,3.7013779082440674,CE,Southeastern Baptist College
Hayden,Melissa,(818) 552-7189,melissahayden@icloud.org,8538 Diam. Ave,30211,Denbighshire,Java R Python SQL,2.1923580917074266,CS,Tennessee State University
Pena,May,1-314-615-2275,maypena9270@hotmail.couk,828-5026 Integer Street,94621-138,Flintshire,SQL,2.7720131668698436,CS,University of Colorado at Denver
Anderson,Kennan,1-608-627-6246,kennananderson2956@icloud.ca,1164 Accumsan Ave,7449,Nova Scotia,Ruby,3.059483129813227,CS,American Public University
Mosley,Rajah,(740) 629-4260,rajahmosley7034@protonmail.couk,407-1990 Felis Ave,37276,Nebraska,C++ Java,2.9689588724863407,CIS,Utah Valley State College
Rollins,Curran,(210) 842-7453,curranrollins7178@yahoo.net,"Ap #506-8258 Erat, Road",6528,Herefordshire,Go Swift PHP,2.7723278185095177,CIS,Tabor College
Gray,Octavius,1-421-642-2311,octaviusgray@yahoo.net,555-9674 Nullam St.,7687,Montana,Swift PHP Ruby,2.5230172555945822,IST,Keuka College
Tillman,Quinlan,(216) 655-9347,quinlantillman2257@outlook.com,317 Tellus Avenue,33975,Glamorgan,C++ Java R Python SQL,3.4783168087335783,CS,University of Connecticut at Hartford
Woodward,Lyle,(785) 554-1502,lylewoodward7150@aol.net,"P.O. Box 548, 7994 Scelerisque Av.",94416,Nova Scotia,Java R Python SQL Javascript,2.0422867663711255,CE,Claflin College
Mcpherson,Ezra,1-296-635-3522,ezramcpherson183@google.net,157-9563 Mauris Road,1257,Newfoundland and Labrador,C++ Java,3.4463423875900903,CE,Northern State University
Velez,Ivor,(284) 550-8365,ivorvelez9889@outlook.couk,Ap #841-619 Ipsum Rd.,621945,Kentucky,C++,2.9780888301673327,CIS,Arkansas Tech University
Poole,Nicholas,1-252-226-1521,nicholaspoole9631@hotmail.edu,637-2267 Cras Av.,12806,Ontario,Java R Python SQL Javascript,2.2262636574103416,IST,Northwest Missouri State University
Hurst,Sheila,(162) 483-3153,sheilahurst@outlook.com,Ap #376-2037 Eleifend Rd.,2978,Kentucky,R Python SQL Javascript,2.951481920389954,MIS,Saginaw Valley State University
Lindsey,Morgan,(281) 201-2259,morganlindsey@icloud.com,Ap #631-1362 Mauris St.,4215-4256,Alberta,SQL Javascript,2.4739859443575325,CS,Metropolitan State College of Denver
Tyler,Lysandra,1-755-722-1981,lysandratyler@aol.net,1911 Mi Rd.,25530,Kansas,Swift PHP Ruby,2.7800275277278326,IST,Michigan School of Professional Psychology
Marks,Tad,(778) 666-6937,tadmarks5509@hotmail.ca,388 Diam. Av.,75234,California,Swift PHP Ruby Rust,3.85175813389241,CE,West Liberty State College
Richard,Odette,1-669-640-2724,odetterichard1000@google.com,"194-6811 Eu, Av.",4162,Montana,Javascript C# Go,3.8985774308403935,CS,"University of Maine, Presque Isle"
Dominguez,Matthew,1-317-443-8329,matthewdominguez6265@hotmail.ca,976 Fermentum Rd.,737749,Ohio,Swift PHP,2.118454489464031,IST,Andrew Jackson University
Stone,Hermione,(344) 522-5132,hermionestone4115@hotmail.edu,740-6588 Turpis Rd.,64264,Durham,Javascript C# Go Swift,2.1988422741174354,CIS,St. Mary's College Indiana
Maxwell,Wilma,(846) 647-2235,wilmamaxwell730@aol.net,Ap #124-8669 Fusce Street,84435,Warwickshire,Java R Python SQL Javascript,3.3478644883981703,CS,Portland State University
West,Flynn,1-174-222-6687,flynnwest@google.ca,Ap #933-9185 Adipiscing. Ave,0326,Shropshire,Python SQL Javascript C#,3.0501904759601985,IT,St. Luke's College
Rush,Philip,1-883-608-3809,philiprush3696@icloud.ca,"6450 Orci, Rd.",2188,Prince Edward Island,R Python SQL Javascript,3.2337535125721235,CS,University of Alabama - Birmingham
Malone,Pandora,(506) 604-5308,pandoramalone1872@icloud.edu,233-6136 Leo. Rd.,6687,Colorado,Javascript C# Go Swift PHP,2.1013371619475714,CS,St. Joseph's College
Beach,Lois,1-741-977-7741,loisbeach@protonmail.org,421-7508 Ipsum St.,774357,Cambridgeshire,C C++ Java R Python,2.6778823239231566,CS,Jackson State University
Dunn,Clarke,(523) 455-3613,clarkedunn@hotmail.edu,728-2445 Vulputate Rd.,46218,Tennessee,Go Swift PHP Ruby Rust,2.1148755342212073,CE,Midwestern University
Phillips,Georgia,1-610-443-5854,georgiaphillips@outlook.net,"P.O. Box 685, 962 Ipsum Road",68248,Illinois,C# Go Swift,2.554828894605039,MIS,Caldwell College
Callahan,Shaine,1-344-641-8174,shainecallahan7557@icloud.org,Ap #960-7269 Arcu. Rd.,71112,Nova Scotia,C++ Java,3.622157559092148,CS,Loyola Marymount University
